epoch,step,G_total,D_X,D_Y
1,1,16.513429641723633,1.426882266998291,1.8949921131134033
1,2,16.00613784790039,2.355529308319092,1.8524889945983887
1,3,16.643051147460938,1.7602165937423706,1.5835986137390137
1,4,15.147122383117676,1.2453354597091675,1.4144344329833984
1,5,11.828843116760254,0.8972254991531372,0.9134806990623474
1,6,11.082653999328613,0.838768720626831,0.7091847658157349
1,7,11.89841079711914,0.812514066696167,0.8532075881958008
1,8,10.284374237060547,0.703952431678772,0.8565686941146851
1,9,10.94460391998291,0.6401311159133911,0.9049713611602783
1,10,8.821175575256348,0.6050665974617004,0.6727728843688965
1,11,8.820629119873047,0.7609553337097168,0.753219485282898
1,12,9.342561721801758,0.9459089040756226,0.9747400283813477
1,13,8.978006362915039,1.0583407878875732,1.12227201461792
1,14,8.580423355102539,0.7350810766220093,1.645470380783081
1,15,11.007590293884277,0.5777778625488281,1.0117943286895752
1,16,7.838199615478516,0.6014387607574463,1.0012612342834473
1,17,8.412832260131836,0.5080143213272095,0.7228494882583618
1,18,7.057104110717773,0.5268063545227051,0.7554973363876343
1,19,9.234769821166992,0.54625004529953,0.5214488506317139
1,20,7.482842445373535,0.4971655607223511,0.6223012208938599
1,21,8.595455169677734,0.5141985416412354,0.6563782691955566
1,22,7.390496253967285,0.4936487376689911,0.5516731142997742
1,23,7.60849666595459,0.4851337671279907,0.6661300659179688
1,24,6.817568778991699,0.4696809649467468,0.5576420426368713
1,25,6.738651275634766,0.4473555088043213,0.6761070489883423
1,26,6.74153995513916,0.4636066257953644,0.6270475387573242
1,27,7.925161838531494,0.4727438688278198,0.4657048285007477
1,28,6.927989482879639,0.4705178737640381,0.4787846505641937
1,29,8.330418586730957,0.4531623423099518,0.48797333240509033
1,30,6.451569080352783,0.42986130714416504,0.4574754238128662
1,31,6.593315124511719,0.4317300617694855,0.4191216826438904
1,32,6.523174285888672,0.538751482963562,0.4172585606575012
1,33,6.948060035705566,1.1915860176086426,0.3995818495750427
1,34,9.967855453491211,2.0351145267486572,0.4506269693374634
1,35,7.251542091369629,0.8772979974746704,0.40411680936813354
1,36,6.466183185577393,0.5940991640090942,0.47441616654396057
1,37,7.834134101867676,0.5069527626037598,0.5162328481674194
1,38,6.379462242126465,0.44935569167137146,0.44319188594818115
1,39,6.778501033782959,0.4980125427246094,0.4421406686306
1,40,5.579499244689941,0.4858091473579407,0.40484631061553955
1,41,5.724331855773926,0.4471987783908844,0.4414823353290558
1,42,6.524395942687988,0.4672623872756958,0.41970181465148926
1,43,5.430470943450928,0.4884088337421417,0.4122479557991028
1,44,5.700442314147949,0.41781938076019287,0.471272349357605
1,45,5.999922752380371,0.3555554747581482,0.43210822343826294
1,46,6.930243492126465,0.3994002044200897,0.4216667413711548
1,47,5.758264541625977,0.37374141812324524,0.4703179895877838
1,48,6.303560256958008,0.338725209236145,0.4465043544769287
1,49,7.573488712310791,0.4112871289253235,0.4287318289279938
1,50,6.578880786895752,0.36008405685424805,0.44966137409210205
1,51,6.772978782653809,0.3743400573730469,0.3841973543167114
1,52,5.679096221923828,0.41053563356399536,0.41788700222969055
2,1,5.949711799621582,0.38277190923690796,0.42414045333862305
2,2,7.083373069763184,0.3790489733219147,0.3993614912033081
2,3,5.5941619873046875,0.3543074131011963,0.38431447744369507
2,4,5.069955348968506,0.33815616369247437,0.31236663460731506
2,5,5.3333001136779785,0.3395296335220337,0.3557053804397583
2,6,6.500432968139648,0.3373335599899292,0.41947394609451294
2,7,6.1564412117004395,0.3576638102531433,0.4027857780456543
2,8,5.514311790466309,0.36270514130592346,0.33776235580444336
2,9,7.948582172393799,0.3172224760055542,0.4472890794277191
2,10,6.27799129486084,0.33875638246536255,0.3565366864204407
2,11,7.60520076751709,0.3546750843524933,0.29474076628685
2,12,5.234012603759766,0.3880276381969452,0.38598495721817017
2,13,6.764615535736084,0.3026525378227234,0.3384798467159271
2,14,6.319167613983154,0.3396035432815552,0.45509272813796997
2,15,5.587037086486816,0.33119186758995056,0.4842965602874756
2,16,4.9546122550964355,0.32292699813842773,0.38390591740608215
2,17,5.936817169189453,0.3376101851463318,0.36331361532211304
2,18,5.573068618774414,0.29656916856765747,0.39518070220947266
2,19,6.104529857635498,0.29372212290763855,0.46779462695121765
2,20,6.723483085632324,0.36347126960754395,0.4767298698425293
2,21,6.242086410522461,0.3269380033016205,0.49542275071144104
2,22,6.655524730682373,0.3317602872848511,0.5140314698219299
2,23,5.787644863128662,0.3247905373573303,0.4976378083229065
2,24,5.299395561218262,0.29788708686828613,0.48647844791412354
2,25,4.403059005737305,0.33172518014907837,0.3447865843772888
2,26,5.885892868041992,0.31356319785118103,0.34977999329566956
2,27,5.99936056137085,0.31976771354675293,0.32292428612709045
2,28,6.523873805999756,0.29809871315956116,0.3848228454589844
2,29,5.514469146728516,0.29986459016799927,0.31236952543258667
2,30,6.130133628845215,0.30025941133499146,0.2776249647140503
2,31,5.367945194244385,0.2864423394203186,0.367047518491745
2,32,5.359048843383789,0.2906010150909424,0.4375687837600708
2,33,6.8058271408081055,0.2857509255409241,0.46043235063552856
2,34,5.02409029006958,0.30538564920425415,0.352397620677948
2,35,5.076481342315674,0.32717907428741455,0.3142426908016205
2,36,6.467404842376709,0.383487731218338,0.4400898814201355
2,37,6.904893398284912,0.4349299967288971,0.34245240688323975
2,38,6.806206703186035,0.47530341148376465,0.33987748622894287
2,39,5.074194431304932,0.5550200343132019,0.304916650056839
2,40,7.476743698120117,0.49501749873161316,0.3947336971759796
2,41,5.550827980041504,0.3822614550590515,0.3330546021461487
2,42,5.560791969299316,0.43715348839759827,0.34835970401763916
2,43,5.634810447692871,0.38307955861091614,0.2985996603965759
2,44,4.6292595863342285,0.3161967396736145,0.3376486301422119
2,45,4.968776702880859,0.28759732842445374,0.2904457747936249
2,46,4.621166706085205,0.34940916299819946,0.249923974275589
2,47,5.453932762145996,0.42086267471313477,0.34977036714553833
2,48,5.566135883331299,0.4065473675727844,0.27917811274528503
2,49,6.4712018966674805,0.3028317093849182,0.32067936658859253
2,50,5.678696155548096,0.3201262950897217,0.29202380776405334
2,51,4.981906890869141,0.3106767237186432,0.29633966088294983
2,52,6.562943935394287,0.29689356684684753,0.3134879171848297
3,1,5.465295791625977,0.3192808926105499,0.35252803564071655
3,2,5.761598110198975,0.26808223128318787,0.3133510947227478
3,3,5.864235877990723,0.27778738737106323,0.3434165120124817
3,4,5.1658477783203125,0.2984441816806793,0.3161478638648987
3,5,7.180587291717529,0.3058423101902008,0.3611304759979248
3,6,5.618317604064941,0.27039673924446106,0.32404351234436035
3,7,7.934835433959961,0.3835686147212982,0.3117232024669647
3,8,5.676962852478027,0.3139038681983948,0.2973615527153015
3,9,5.954817771911621,0.334439218044281,0.32238370180130005
3,10,7.559818267822266,0.3163868188858032,0.3531728982925415
3,11,5.342380046844482,0.24563652276992798,0.29303207993507385
3,12,5.338108539581299,0.2748311460018158,0.3091259300708771
3,13,6.459829807281494,0.27730444073677063,0.2966555655002594
3,14,5.407627105712891,0.3381904363632202,0.4166194200515747
3,15,7.5135698318481445,0.347265362739563,0.45601966977119446
3,16,5.884143829345703,0.24374893307685852,0.37500202655792236
3,17,4.766851425170898,0.2895088791847229,0.3768935203552246
3,18,4.671683311462402,0.24441467225551605,0.24512270092964172
3,19,5.3451128005981445,0.305132657289505,0.368630051612854
3,20,4.678018093109131,0.31919702887535095,0.26268118619918823
3,21,4.565871715545654,0.22848162055015564,0.2266550362110138
3,22,5.073206424713135,0.26416683197021484,0.3542240262031555
3,23,7.2640533447265625,0.32400304079055786,0.36116886138916016
3,24,4.597808837890625,0.26007595658302307,0.3278881907463074
3,25,5.988661766052246,0.26801568269729614,0.2580578625202179
3,26,4.1997294425964355,0.27583834528923035,0.2772042155265808
3,27,5.373303413391113,0.28420907258987427,0.2917441725730896
3,28,6.2018818855285645,0.27382558584213257,0.25890177488327026
3,29,7.184357643127441,0.2567673921585083,0.22551804780960083
3,30,6.161564350128174,0.2856658697128296,0.29242104291915894
3,31,4.623063087463379,0.302998423576355,0.339114785194397
